property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price
Flat / apartment,Horta Guinardó,5,350000.0,103,4,2,6,1973.6575342465753,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.33959801513142,2.0306348219860992,12.765688433465597
Flat / apartment,El Bon Pastor,5,147200.0,67,2,1,1,1968.0,1,1,0,1,1,0,0,0,0,0,1,3.086356414343004,1.9698577284784182,2.0306348219860992,11.899547485276912
Flat / apartment,El Bon Pastor,5,114000.0,44,2,1,4,1974.5,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,1.9698577284784182,2.0306348219860992,11.643953727376633
Flat / apartment,Sant Andreu,5,215000.0,101,4,1,3,1966.0,1,1,1,1,1,0,0,0,0,0,0,3.086356414343004,3.467960665868322,2.0306348219860992,12.2783933071098
Flat / apartment,Sant Andreu,5,185900.0,65,3,1,8,1965.5420560747664,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.467960665868322,2.0306348219860992,12.132964173709535
Detached house,El Besòs,5,280000.0,125,4,2,0,1960.0,0,0,1,0,1,0,0,0,0,0,1,3.086356414343004,2.560272570415858,4.819513954361332,12.542544882151386
Flat / apartment,El Besòs,5,239000.0,57,3,1,4,1963.0,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,2.560272570415858,2.0306348219860992,12.384218830913648
Flat / apartment,El Besòs,5,140000.0,61,3,1,2,1960.0,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,2.560272570415858,2.0306348219860992,11.84939770159144
Semi-detached house,El Besòs,5,175000.0,83,3,1,0,1960.0,0,0,1,0,1,0,0,0,0,0,0,3.086356414343004,2.560272570415858,3.4085514742519782,12.072541252905651
Flat / apartment,Sant Martí,5,106500.0,67,3,1,4,1973.7735849056603,0,0,0,1,1,0,0,0,0,0,1,3.086356414343004,4.371079205477762,2.0306348219860992,11.575900264131617
Flat / apartment,El Besòs,5,1150000.0,98,2,2,2,2021.0,1,1,0,0,1,0,1,0,0,1,1,3.086356414343004,2.560272570415858,2.0306348219860992,13.955272500339433
Studio flat,El Besòs,5,71200.0,55,0,1,2,1972.5466666666666,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,2.560272570415858,1.0,11.173248097400068
Penthouse,Les Corts,5,2390000.0,454,7,3,9,1958.0,1,1,1,0,1,1,0,0,0,0,1,3.086356414343004,7.1237893952033104,3.0305791993286255,14.686803923907693
Flat / apartment,Les Corts,5,1000000.0,158,5,2,3,1968.2851063829787,1,1,0,0,1,1,0,0,0,0,1,3.086356414343004,7.1237893952033104,2.0306348219860992,13.815510557964274
Flat / apartment,Les Corts,5,1160000.0,181,4,3,2,1977.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,7.1237893952033104,2.0306348219860992,13.963930563082547
Flat / apartment,Les Corts,5,1235000.0,195,5,3,4,1980.0,1,1,1,0,1,0,1,0,0,1,1,3.086356414343004,7.1237893952033104,2.0306348219860992,14.026581528044215
