property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property
Flat / apartment,Gràcia,Barcelona,399000.0,69,3,2,0,1957.2093023255813,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,6.362475886182783,2.0306348219860992
Flat / apartment,El Coll,Barcelona,185000.0,60,3,1,1,1966.0,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,2.0656378104653967,2.0306348219860992
Flat / apartment,Can Baró,Barcelona,300000.0,84,4,1,1,1978.0,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,3.1875403906438393,2.0306348219860992
Flat / apartment,Horta Guinardó,Barcelona,345000.0,95,2,2,0,1936.0,1,0,0,0,1,0,0,0,0,0,0,3.086356414343004,3.33959801513142,2.0306348219860992
Flat / apartment,Can Baró,Barcelona,315000.0,90,4,1,10,1979.3207547169811,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.1875403906438393,2.0306348219860992
Flat / apartment,La Trinitat Vella,Barcelona,136000.0,91,3,1,1,1971.4333333333334,1,0,0,1,1,1,0,0,0,0,1,3.086356414343004,1.4714347721244272,2.0306348219860992
Flat / apartment,Collblanc,Hospitalet de Llobregat,135000.0,59,3,1,2,1959.0,0,0,0,0,1,0,0,0,0,1,1,1.1163479984144167,2.0489907200696966,2.0306348219860992
Flat / apartment,La Florida,Hospitalet de Llobregat,110000.0,55,2,1,1,1950.0,1,0,0,0,1,1,0,0,0,1,1,1.1163479984144167,1.5768255732273724,2.0306348219860992
Flat / apartment,La Florida,Hospitalet de Llobregat,155000.0,72,4,1,2,1963.0,1,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.5768255732273724,2.0306348219860992
Flat / apartment,Sant Josep,Hospitalet de Llobregat,215000.0,78,1,1,0,2005.0,1,0,0,0,1,1,0,0,0,0,1,1.1163479984144167,2.3404824371031268,2.0306348219860992
Flat / apartment,La Florida,Hospitalet de Llobregat,157000.0,60,3,1,4,1945.0,1,0,0,0,1,0,0,0,0,1,1,1.1163479984144167,1.5768255732273724,2.0306348219860992
Flat / apartment,Sanfeliu,Hospitalet de Llobregat,300000.0,58,3,1,2,1972.0,1,1,0,1,1,0,0,0,0,1,1,1.1163479984144167,2.3513518205932,2.0306348219860992
Flat / apartment,Santa Eulàlia,Hospitalet de Llobregat,369000.0,106,3,2,4,1993.0,1,1,1,1,1,0,0,0,0,0,1,1.1163479984144167,2.8272007787869855,2.0306348219860992
Detached house,Collblanc,Hospitalet de Llobregat,210000.0,61,2,1,1,1955.0,0,0,1,0,1,1,0,0,0,0,0,1.1163479984144167,2.0489907200696966,4.819513954361332
Flat / apartment,Pubilla Cases,Hospitalet de Llobregat,133000.0,75,3,1,1,1962.0,1,1,0,0,1,1,0,0,0,0,1,1.1163479984144167,1.6744193502422342,2.0306348219860992
Flat / apartment,Bellvitge,Hospitalet de Llobregat,239000.0,77,4,1,3,1972.0,1,1,0,1,1,0,0,0,0,0,1,1.1163479984144167,1.8987843799202826,2.0306348219860992
Flat / apartment,Sant Josep,Hospitalet de Llobregat,139000.0,63,3,1,4,1963.0,0,0,0,1,1,0,0,0,0,0,0,1.1163479984144167,2.3404824371031268,2.0306348219860992
Flat / apartment,Les Planes,Hospitalet de Llobregat,77000.0,45,2,1,0,1955.0,1,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.456863474846559,2.0306348219860992
Duplex,Santa Eulàlia,Hospitalet de Llobregat,420000.0,90,2,1,10,1977.1463414634147,1,1,0,1,1,0,1,0,0,0,1,1.1163479984144167,2.8272007787869855,2.866960588752642
Duplex,Pubilla Cases,Hospitalet de Llobregat,399000.0,102,3,3,0,1970.6363636363637,1,1,1,0,0,0,0,0,0,0,1,1.1163479984144167,1.6744193502422342,2.866960588752642
Flat / apartment,Bellvitge,Hospitalet de Llobregat,230000.0,74,3,1,11,1967.0,1,1,0,0,1,0,0,0,0,1,1,1.1163479984144167,1.8987843799202826,2.0306348219860992
Flat / apartment,Pubilla Cases,Hospitalet de Llobregat,175000.0,55,3,1,0,2020.0,1,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.6744193502422342,2.0306348219860992
Flat / apartment,Centre,Hospitalet de Llobregat,324000.0,86,2,2,1,1969.0,1,1,1,0,1,0,0,0,0,0,1,1.1163479984144167,3.140219810596927,2.0306348219860992
Flat / apartment,La Florida,Hospitalet de Llobregat,237000.0,85,3,2,1,2004.0,1,1,1,0,1,0,0,0,0,1,1,1.1163479984144167,1.5768255732273724,2.0306348219860992
Flat / apartment,Pubilla Cases,Hospitalet de Llobregat,120000.0,73,3,1,3,1965.0,1,0,0,0,1,1,0,0,0,0,0,1.1163479984144167,1.6744193502422342,2.0306348219860992
Flat / apartment,Sanfeliu,Hospitalet de Llobregat,350000.0,70,2,1,3,1972.6,1,1,0,1,1,0,0,0,0,0,1,1.1163479984144167,2.3513518205932,2.0306348219860992
Flat / apartment,Sanfeliu,Hospitalet de Llobregat,310000.0,58,3,1,2,1972.0,1,1,0,1,1,0,0,0,0,1,1,1.1163479984144167,2.3513518205932,2.0306348219860992
Flat / apartment,Collblanc,Hospitalet de Llobregat,128000.0,65,3,1,2,1962.1346153846155,1,0,0,0,1,0,0,0,0,1,1,1.1163479984144167,2.0489907200696966,2.0306348219860992
Flat / apartment,Pubilla Cases,Hospitalet de Llobregat,120000.0,45,3,1,0,1965.0,0,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.6744193502422342,2.0306348219860992
Flat / apartment,Bellvitge,Hospitalet de Llobregat,212000.0,88,3,1,10,1977.0,1,1,1,1,1,0,0,0,0,0,0,1.1163479984144167,1.8987843799202826,2.0306348219860992
Flat / apartment,Centre,Hospitalet de Llobregat,150000.0,45,3,1,2,1959.0,0,0,0,0,1,0,0,0,0,0,0,1.1163479984144167,3.140219810596927,2.0306348219860992
Flat / apartment,Les Planes,Hospitalet de Llobregat,240000.0,116,4,2,2,1969.3428571428572,1,0,1,1,1,0,0,0,0,0,1,1.1163479984144167,1.456863474846559,2.0306348219860992
Duplex,Collblanc,Hospitalet de Llobregat,299000.0,106,4,3,0,1962.1346153846155,0,1,0,0,1,0,0,0,0,0,1,1.1163479984144167,2.0489907200696966,2.866960588752642
Penthouse,La Florida - Les Planes,Hospitalet de Llobregat,139000.0,45,2,1,5,1966.0,1,0,1,0,1,0,0,0,0,1,1,1.1163479984144167,1.1906601320394425,3.0305791993286255
Flat / apartment,Centre,Hospitalet de Llobregat,360000.0,120,3,1,1,1949.0,1,0,0,1,1,0,0,0,0,1,1,1.1163479984144167,3.140219810596927,2.0306348219860992
