property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price,price_bin
Flat / apartment,La Barceloneta,Barcelona,295000.0,74,3,1,0,1900.0,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,3.700615195898554,2.0306348219860992,12.594730635321955,81k-300k
Penthouse,La Barceloneta,Barcelona,650000.0,90,0,1,5,2006.0,0,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.700615195898554,3.030579199328625,13.38472764187182,301k-1.5M
Flat / apartment,Horta,Barcelona,395000.0,58,2,2,1,1962.8285714285716,1,1,1,0,0,0,0,0,0,0,1,3.086356414343004,4.411021066707587,2.0306348219860992,12.88664104388326,301k-1.5M
Flat / apartment,Nou Barris,Barcelona,269000.0,118,5,2,0,1971.581818181818,1,0,1,0,1,0,0,0,0,1,1,3.086356414343004,1.827804765125539,2.0306348219860992,12.502466658583977,81k-300k
Flat / apartment,Nou Barris,Barcelona,96000.0,64,4,1,5,1971.581818181818,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,1.827804765125539,2.0306348219860992,11.472103470449971,81k-300k
Flat / apartment,Ciutat Meridiana - Torre Baró - Vallbona,Barcelona,135000.0,66,3,1,0,1971.0,1,1,0,0,1,1,0,0,0,0,0,3.086356414343004,1.468664729100301,2.0306348219860992,11.813030057420567,81k-300k
Flat / apartment,Sant Martí,Barcelona,269000.0,70,3,1,3,1973.7735849056603,1,1,0,1,1,0,0,0,0,0,0,3.086356414343004,4.371079205477762,2.0306348219860992,12.502466658583977,81k-300k
Flat / apartment,La Verneda i la Pau,Barcelona,205000.0,92,3,1,14,1963.0,1,1,0,1,1,1,0,0,0,0,0,3.086356414343004,2.74023512527517,2.0306348219860992,12.230765258120543,81k-300k
Flat / apartment,La Verneda i la Pau,Barcelona,235000.0,130,0,1,0,1970.0,0,1,0,0,1,0,0,0,0,1,1,3.086356414343004,2.74023512527517,1.0,12.367340793126296,81k-300k
Flat / apartment,La Verneda i la Pau,Barcelona,140000.0,65,2,1,1,1978.1875,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,2.74023512527517,2.0306348219860992,11.84939770159144,81k-300k
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,890000.0,236,2,2,1,1900.0,0,0,1,1,1,0,0,0,0,0,1,3.086356414343004,5.601025131302675,2.0306348219860992,13.698976741708323,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,730000.0,126,2,2,3,1905.485436893204,1,0,0,0,1,0,0,0,0,0,0,3.086356414343004,5.078603488027523,2.0306348219860992,13.500799813124576,301k-1.5M
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,205000.0,60,2,1,2,1870.0,1,0,0,0,1,1,0,0,0,0,1,3.086356414343004,5.601025131302675,2.0306348219860992,12.230765258120543,81k-300k
Flat / apartment,Ciutat Vella,Barcelona,340000.0,60,2,1,3,1892.0,1,0,0,0,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.736700896592344,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,457000.0,70,2,2,0,1890.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,13.032438669876342,301k-1.5M
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,485000.0,111,3,2,5,1969.0,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,5.601025131302675,2.0306348219860992,13.09190416991962,301k-1.5M
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,280000.0,71,2,1,4,1920.934523809524,1,0,0,1,1,0,0,0,0,0,1,3.086356414343004,5.601025131302675,2.0306348219860992,12.542544882151386,81k-300k
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,795000.0,88,2,2,1,1920.934523809524,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,5.601025131302675,2.0306348219860992,13.58609739363647,301k-1.5M
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,500000.0,72,2,2,3,1890.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,5.601025131302675,2.0306348219860992,13.122363377404328,301k-1.5M
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,795000.0,98,2,2,1,1934.0,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,5.601025131302675,2.0306348219860992,13.58609739363647,301k-1.5M
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,327500.0,71,2,2,2,1920.934523809524,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,5.601025131302675,2.0306348219860992,12.699243334057444,301k-1.5M
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,480000.0,86,3,1,2,1991.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.601025131302675,2.0306348219860992,13.081541382884074,301k-1.5M
Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,315000.0,40,1,1,3,1920.934523809524,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.601025131302675,2.0306348219860992,12.66032791780777,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,695000.0,72,2,2,11,1905.485436893204,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,13.45166712454693,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,170000.0,35,1,1,2,1905.485436893204,0,0,0,0,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.0435537160324,81k-300k
Flat / apartment,Eixample,Barcelona,725000.0,95,3,2,0,1943.2987804878048,0,1,0,0,1,0,0,0,0,1,1,3.086356414343004,8.659348167488476,2.0306348219860992,13.493926933836812,301k-1.5M
Flat / apartment,Gràcia,Barcelona,490000.0,76,2,1,1,2009.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,6.362475886182783,2.0306348219860992,13.102160670086809,301k-1.5M
Flat / apartment,El Camp d'En Grassot i Gràcia Nova,Barcelona,400000.0,89,3,2,1,1964.9701492537315,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.338185726863353,2.0306348219860992,12.89921982609012,301k-1.5M
Flat / apartment,Can Peguera - El Turó de la Peira,Barcelona,120000.0,59,3,1,4,1955.0,0,1,0,0,1,1,0,0,0,0,1,3.086356414343004,1.7967187815011445,2.0306348219860992,11.695247021764184,81k-300k
Flat / apartment,Can Peguera - El Turó de la Peira,Barcelona,255000.0,77,3,1,3,1959.0,1,1,0,0,1,0,0,0,0,0,0,3.086356414343004,1.7967187815011445,2.0306348219860992,12.449018824140564,81k-300k
Flat / apartment,Can Peguera - El Turó de la Peira,Barcelona,220000.0,75,3,1,1,1957.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,1.7967187815011445,2.0306348219860992,12.301382825334498,81k-300k
Flat / apartment,Can Peguera - El Turó de la Peira,Barcelona,121200.0,68,2,1,0,1957.0,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,1.7967187815011445,2.0306348219860992,11.70519735261735,81k-300k
Flat / apartment,Nou Barris,Barcelona,102200.0,61,2,1,4,1971.581818181818,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,1.827804765125539,2.0306348219860992,11.534686956751742,81k-300k
Flat / apartment,Nou Barris,Barcelona,190000.0,60,3,1,1,1955.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,1.827804765125539,2.0306348219860992,12.154779351142624,81k-300k
Flat / apartment,Can Peguera - El Turó de la Peira,Barcelona,129000.0,62,2,1,1,1955.0,1,1,0,0,1,1,0,0,0,0,0,3.086356414343004,1.7967187815011445,2.0306348219860992,11.76756768334381,81k-300k
Flat / apartment,Can Peguera - El Turó de la Peira,Barcelona,129000.0,62,2,1,1,1961.3061224489795,1,0,0,0,1,1,0,0,0,0,1,3.086356414343004,1.7967187815011445,2.0306348219860992,11.76756768334381,81k-300k
Flat / apartment,Nou Barris,Barcelona,155000.0,72,2,1,1,1973.0,1,1,1,1,1,0,0,0,0,0,1,3.086356414343004,1.827804765125539,2.0306348219860992,11.951180395901384,81k-300k
Penthouse,La Prosperitat,Barcelona,295000.0,100,3,1,6,1971.9767441860463,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,1.874295793386162,3.030579199328625,12.594730635321955,81k-300k
House,La Prosperitat,Barcelona,280000.0,89,3,1,0,1971.9767441860463,0,0,1,0,1,1,0,1,1,0,1,3.086356414343004,1.874295793386162,4.819513954361332,12.542544882151386,81k-300k
Flat / apartment,La Prosperitat,Barcelona,136325.0,67,2,1,0,1968.0,1,1,0,0,1,0,0,0,0,0,0,3.086356414343004,1.874295793386162,2.0306348219860992,11.822797019794262,81k-300k
Flat / apartment,Nou Barris,Barcelona,270000.0,79,3,1,3,1969.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,1.827804765125539,2.0306348219860992,12.506177237980513,81k-300k
Penthouse,La Sagrada Família,Barcelona,625000.0,110,4,2,9,1968.0,1,1,1,1,1,1,0,0,0,0,1,3.086356414343004,4.253024380338355,3.030579199328625,13.34550692871854,301k-1.5M
Flat / apartment,La Sagrada Família,Barcelona,330000.0,72,4,1,3,1938.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,4.253024380338355,2.0306348219860992,12.706847933442663,301k-1.5M
Flat / apartment,La Sagrada Família,Barcelona,737000.0,104,3,2,1,1946.5871559633028,1,1,1,0,0,0,0,0,0,0,1,3.086356414343004,4.253024380338355,2.0306348219860992,13.510343171171474,301k-1.5M
